symboling,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,enginetype,cylindernumber,enginesize,horsepower,citympg,price
3,convertible,rwd,front,88.6,168.8,64.1,48.8,dohc,four,130,111,21,13495.0
3,convertible,rwd,front,88.6,168.8,64.1,48.8,dohc,four,130,111,21,16500.0
1,hatchback,rwd,front,94.5,171.2,65.5,52.4,ohcv,six,152,154,19,16500.0
2,sedan,fwd,front,99.8,176.6,66.2,54.3,ohc,four,109,102,24,13950.0
2,sedan,4wd,front,99.4,176.6,66.4,54.3,ohc,five,136,115,18,17450.0
2,sedan,fwd,front,99.8,177.3,66.3,53.1,ohc,five,136,110,19,15250.0
1,sedan,fwd,front,105.8,192.7,71.4,55.7,ohc,five,136,110,19,17710.0
1,wagon,fwd,front,105.8,192.7,71.4,55.7,ohc,five,136,110,19,18920.0
1,sedan,fwd,front,105.8,192.7,71.4,55.9,ohc,five,131,140,17,23875.0
0,hatchback,4wd,front,99.5,178.2,67.9,52.0,ohc,five,131,160,16,17859.167
2,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,four,108,101,23,16430.0
0,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,four,108,101,23,16925.0
0,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,six,164,121,21,20970.0
0,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,six,164,121,21,21105.0
1,sedan,rwd,front,103.5,189.0,66.9,55.7,ohc,six,164,121,20,24565.0
0,sedan,rwd,front,103.5,189.0,66.9,55.7,ohc,six,209,182,16,30760.0
0,sedan,rwd,front,103.5,193.8,67.9,53.7,ohc,six,209,182,16,41315.0
0,sedan,rwd,front,110.0,197.0,70.9,56.3,ohc,six,209,182,15,36880.0
2,hatchback,fwd,front,88.4,141.1,60.3,53.2,l,three,61,48,47,5151.0
1,hatchback,fwd,front,94.5,155.9,63.6,52.0,ohc,four,90,70,38,6295.0
0,sedan,fwd,front,94.5,158.8,63.6,52.0,ohc,four,90,70,38,6575.0
1,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,four,90,68,37,5572.0
1,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,four,90,68,31,6377.0
1,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,four,98,102,24,7957.0
1,hatchback,fwd,front,93.7,157.3,63.8,50.6,ohc,four,90,68,31,6229.0
1,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,four,90,68,31,6692.0
1,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,four,90,68,31,7609.0
1,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,four,98,102,24,8558.0
-1,wagon,fwd,front,103.3,174.6,64.6,59.8,ohc,four,122,88,24,8921.0
3,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,four,156,145,19,12964.0
2,hatchback,fwd,front,86.6,144.6,63.9,50.8,ohc,four,92,58,49,6479.0
2,hatchback,fwd,front,86.6,144.6,63.9,50.8,ohc,four,92,76,31,6855.0
1,hatchback,fwd,front,93.7,150.0,64.0,52.6,ohc,four,79,60,38,5399.0
1,hatchback,fwd,front,93.7,150.0,64.0,52.6,ohc,four,92,76,30,6529.0
1,hatchback,fwd,front,93.7,150.0,64.0,52.6,ohc,four,92,76,30,7129.0
0,sedan,fwd,front,96.5,163.4,64.0,54.5,ohc,four,92,76,30,7295.0
0,wagon,fwd,front,96.5,157.1,63.9,58.3,ohc,four,92,76,30,7295.0
0,hatchback,fwd,front,96.5,167.5,65.2,53.3,ohc,four,110,86,27,7895.0
